idEstado,claveEstado,estado
1,01,Aguascalientes
2,02,"Baja California"
3,03,"Baja California Sur"
4,04,Campeche
5,05,"Coahuila de Zaragoza"
6,06,Colima
7,07,Chiapas
8,08,Chihuahua
9,09,"Distrito Federal"
10,10,Durango
11,11,Guanajuato
12,12,Guerrero
13,13,Hidalgo
14,14,Jalisco
15,15,México
16,16,"Michoacán de Ocampo"
17,17,Morelos
18,18,Nayarit
19,19,"Nuevo León"
20,20,Oaxaca
21,21,Puebla
22,22,Querétaro
23,23,"Quintana Roo"
24,24,"San Luis Potosí"
25,25,Sinaloa
26,26,Sonora
27,27,Tabasco
28,28,Tamaulipas
29,29,Tlaxcala
30,30,"Veracruz de Ignacio de la Llave"
31,31,Yucatán
32,32,Zacatecas
33,00,Desconocido
